,level_0,index,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,CaseFatality_Ratio
141,141,143,Alberta,Canada,2020-09-20 04:22:56,53.9333,-116.5765,16381,255,14702,1424.0,"Alberta, Canada",371.18645066354026,1.5566815212746474
142,142,144,British Columbia,Canada,2020-09-20 04:22:56,53.7267,-127.6476,7842,223,5797,1822.0,"British Columbia, Canada",153.43626202499468,2.8436623310380007
143,143,145,Manitoba,Canada,2020-09-20 04:22:56,53.7609,-98.8139,1558,16,1211,331.0,"Manitoba, Canada",113.10205246105856,1.0269576379974326
144,144,146,New Brunswick,Canada,2020-09-20 04:22:56,46.5653,-66.4619,194,2,192,0.0,"New Brunswick, Canada",24.872018082213557,1.0309278350515465
145,145,147,Newfoundland and Labrador,Canada,2020-09-20 04:22:56,53.1355,-57.6604,272,3,267,2.0,"Newfoundland and Labrador, Canada",52.17074410441821,1.1029411764705883
146,146,148,Northwest Territories,Canada,2020-09-20 04:22:56,64.8255,-124.8457,5,0,5,0.0,"Northwest Territories,Canada",11.134865490824867,0.0
147,147,149,Nova Scotia,Canada,2020-09-20 04:22:56,44.681999999999995,-63.7443,1086,65,1021,0.0,"Nova Scotia, Canada",111.10463171269942,5.985267034990794
148,148,150,Ontario,Canada,2020-09-20 04:22:56,51.2538,-85.3232,48317,2876,42573,2868.0,"Ontario, Canada",328.4228396649852,5.952356313512842
149,149,151,Prince Edward Island,Canada,2020-09-20 04:22:56,46.5107,-63.4168,57,0,56,1.0,"Prince Edward Island, Canada",36.039909457630976,0.0
150,150,152,Quebec,Canada,2020-09-20 04:22:56,52.9399,-73.5491,67080,5797,58490,2793.0,"Quebec, Canada",785.6940895143103,8.641920095408468
151,151,153,Saskatchewan,Canada,2020-09-20 04:22:56,52.9399,-106.4509,1787,24,1642,121.0,"Saskatchewan, Canada",151.22716571349258,1.3430330162283155
152,152,154,Yukon,Canada,2020-09-20 04:22:56,64.2823,-135.0,15,0,15,0.0,"Yukon, Canada",36.515896586980865,0.0
153,153,155,Antofagasta,Chile,2020-09-20 04:22:56,-23.6509,-70.3975,19391,489,18423,479.0,"Antofagasta, Chile",3191.755523147676,2.521788458563251
154,154,156,Araucania,Chile,2020-09-20 04:22:56,-38.9489,-72.3311,6358,103,5770,485.0,"Araucania, Chile",664.2123473711482,1.620006291286568
155,155,157,Arica y Parinacota,Chile,2020-09-20 04:22:56,-18.594,-69.4785,7561,138,7030,393.0,"Arica y Parinacota, Chile",3344.568890776226,1.825155402724508
156,156,158,Atacama,Chile,2020-09-20 04:22:56,-27.5661,-70.0503,6552,56,6083,413.0,"Atacama, Chile",2267.5674179079683,0.8547008547008547
157,157,159,Aysen,Chile,2020-09-20 04:22:56,-45.9864,-73.7669,223,1,155,67.0,"Aysen, Chile",216.1732488028073,0.4484304932735426
158,158,160,Biobio,Chile,2020-09-20 04:22:56,-37.4464,-72.1416,21564,286,19404,1874.0,"Biobio, Chile",1385.144574946766,1.3262845483212762
159,159,161,Coquimbo,Chile,2020-09-20 04:22:56,-29.959,-71.3389,11497,192,10756,549.0,"Coquimbo, Chile",1517.5834822713198,1.6700008697921196
160,160,162,Los Lagos,Chile,2020-09-20 04:22:56,-41.9198,-72.1416,8086,85,7312,689.0,"Los Lagos, Chile",975.7357235600476,1.0511996042542666
161,161,163,Los Rios,Chile,2020-09-20 04:22:56,-40.231,-72.3311,1500,15,1254,231.0,"Los Rios, Chile",389.77541140794676,1.0
162,162,164,Magallanes,Chile,2020-09-20 04:22:56,-52.368,-70.9863,6273,64,4924,1285.0,"Magallanes, Chile",3766.8209904343294,1.0202454965726129
163,163,165,Maule,Chile,2020-09-20 04:22:56,-35.5183,-71.6885,14317,297,12693,1327.0,"Maule, Chile",1370.1134025551462,2.074456939302926
